ImageName,FilterName,VariantName,ProcessingTime_ms,Success
buildings00,Gaussian Blur,Standard,30.000,true
buildings01,Gaussian Blur,Standard,27.000,true
buildings02,Gaussian Blur,Standard,28.000,true
buildings03,Gaussian Blur,Standard,18.000,true
buildings04,Gaussian Blur,Standard,20.000,true
buildings05,Gaussian Blur,Standard,20.000,true
buildings06,Gaussian Blur,Standard,20.000,true
buildings07,Gaussian Blur,Standard,21.000,true
buildings08,Gaussian Blur,Standard,27.000,true
buildings09,Gaussian Blur,Standard,20.000,true
buildings10,Gaussian Blur,Standard,18.000,true
buildings11,Gaussian Blur,Standard,21.000,true
buildings12,Gaussian Blur,Standard,21.000,true
buildings13,Gaussian Blur,Standard,21.000,true
buildings14,Gaussian Blur,Standard,21.000,true
buildings15,Gaussian Blur,Standard,20.000,true
buildings16,Gaussian Blur,Standard,21.000,true
buildings17,Gaussian Blur,Standard,21.000,true
buildings18,Gaussian Blur,Standard,20.000,true
buildings19,Gaussian Blur,Standard,20.000,true
buildings20,Gaussian Blur,Standard,18.000,true
buildings21,Gaussian Blur,Standard,21.000,true
buildings22,Gaussian Blur,Standard,22.000,true
buildings23,Gaussian Blur,Standard,22.000,true
buildings24,Gaussian Blur,Standard,20.000,true
buildings25,Gaussian Blur,Standard,20.000,true
buildings26,Gaussian Blur,Standard,21.000,true
buildings27,Gaussian Blur,Standard,21.000,true
buildings28,Gaussian Blur,Standard,20.000,true
buildings29,Gaussian Blur,Standard,21.000,true
buildings30,Gaussian Blur,Standard,21.000,true
buildings31,Gaussian Blur,Standard,20.000,true
buildings32,Gaussian Blur,Standard,21.000,true
buildings33,Gaussian Blur,Standard,21.000,true
buildings34,Gaussian Blur,Standard,21.000,true
buildings35,Gaussian Blur,Standard,20.000,true
buildings36,Gaussian Blur,Standard,20.000,true
buildings37,Gaussian Blur,Standard,18.000,true
buildings38,Gaussian Blur,Standard,20.000,true
buildings39,Gaussian Blur,Standard,21.000,true
buildings40,Gaussian Blur,Standard,32.000,true
buildings41,Gaussian Blur,Standard,31.000,true
buildings42,Gaussian Blur,Standard,29.000,true
buildings43,Gaussian Blur,Standard,23.000,true
buildings44,Gaussian Blur,Standard,30.000,true
buildings45,Gaussian Blur,Standard,23.000,true
buildings46,Gaussian Blur,Standard,37.000,true
buildings47,Gaussian Blur,Standard,20.000,true
buildings48,Gaussian Blur,Standard,21.000,true
buildings49,Gaussian Blur,Standard,20.000,true
buildings50,Gaussian Blur,Standard,25.000,true
buildings51,Gaussian Blur,Standard,21.000,true
buildings52,Gaussian Blur,Standard,21.000,true
buildings53,Gaussian Blur,Standard,21.000,true
buildings54,Gaussian Blur,Standard,21.000,true
buildings55,Gaussian Blur,Standard,33.000,true
buildings56,Gaussian Blur,Standard,21.000,true
buildings57,Gaussian Blur,Standard,25.000,true
buildings58,Gaussian Blur,Standard,21.000,true
buildings59,Gaussian Blur,Standard,19.000,true
buildings60,Gaussian Blur,Standard,20.000,true
buildings61,Gaussian Blur,Standard,19.000,true
buildings62,Gaussian Blur,Standard,21.000,true
buildings63,Gaussian Blur,Standard,18.000,true
buildings64,Gaussian Blur,Standard,20.000,true
buildings65,Gaussian Blur,Standard,20.000,true
buildings66,Gaussian Blur,Standard,21.000,true
buildings67,Gaussian Blur,Standard,21.000,true
buildings68,Gaussian Blur,Standard,22.000,true
buildings69,Gaussian Blur,Standard,21.000,true
buildings70,Gaussian Blur,Standard,25.000,true
buildings71,Gaussian Blur,Standard,19.000,true
buildings72,Gaussian Blur,Standard,22.000,true
buildings73,Gaussian Blur,Standard,19.000,true
buildings74,Gaussian Blur,Standard,20.000,true
buildings75,Gaussian Blur,Standard,20.000,true
buildings76,Gaussian Blur,Standard,19.000,true
buildings77,Gaussian Blur,Standard,20.000,true
buildings78,Gaussian Blur,Standard,24.000,true
buildings79,Gaussian Blur,Standard,23.000,true
buildings80,Gaussian Blur,Standard,23.000,true
buildings81,Gaussian Blur,Standard,22.000,true
buildings82,Gaussian Blur,Standard,22.000,true
buildings83,Gaussian Blur,Standard,21.000,true
buildings84,Gaussian Blur,Standard,22.000,true
buildings85,Gaussian Blur,Standard,21.000,true
buildings86,Gaussian Blur,Standard,28.000,true
buildings87,Gaussian Blur,Standard,21.000,true
buildings88,Gaussian Blur,Standard,27.000,true
buildings89,Gaussian Blur,Standard,32.000,true
buildings90,Gaussian Blur,Standard,23.000,true
buildings91,Gaussian Blur,Standard,23.000,true
buildings92,Gaussian Blur,Standard,23.000,true
buildings93,Gaussian Blur,Standard,21.000,true
buildings94,Gaussian Blur,Standard,22.000,true
buildings95,Gaussian Blur,Standard,20.000,true
buildings96,Gaussian Blur,Standard,20.000,true
buildings97,Gaussian Blur,Standard,19.000,true
buildings98,Gaussian Blur,Standard,23.000,true
buildings99,Gaussian Blur,Standard,24.000,true
buildings00,Gaussian Blur,Balanced,25.000,true
buildings01,Gaussian Blur,Balanced,26.000,true
buildings02,Gaussian Blur,Balanced,23.000,true
buildings03,Gaussian Blur,Balanced,22.000,true
buildings04,Gaussian Blur,Balanced,24.000,true
buildings05,Gaussian Blur,Balanced,24.000,true
buildings06,Gaussian Blur,Balanced,33.000,true
buildings07,Gaussian Blur,Balanced,36.000,true
buildings08,Gaussian Blur,Balanced,26.000,true
buildings09,Gaussian Blur,Balanced,23.000,true
buildings10,Gaussian Blur,Balanced,28.000,true
buildings11,Gaussian Blur,Balanced,23.000,true
buildings12,Gaussian Blur,Balanced,29.000,true
buildings13,Gaussian Blur,Balanced,22.000,true
buildings14,Gaussian Blur,Balanced,21.000,true
buildings15,Gaussian Blur,Balanced,32.000,true
buildings16,Gaussian Blur,Balanced,35.000,true
buildings17,Gaussian Blur,Balanced,24.000,true
buildings18,Gaussian Blur,Balanced,26.000,true
buildings19,Gaussian Blur,Balanced,26.000,true
buildings20,Gaussian Blur,Balanced,22.000,true
buildings21,Gaussian Blur,Balanced,20.000,true
buildings22,Gaussian Blur,Balanced,24.000,true
buildings23,Gaussian Blur,Balanced,26.000,true
buildings24,Gaussian Blur,Balanced,22.000,true
buildings25,Gaussian Blur,Balanced,23.000,true
buildings26,Gaussian Blur,Balanced,27.000,true
buildings27,Gaussian Blur,Balanced,28.000,true
buildings28,Gaussian Blur,Balanced,24.000,true
buildings29,Gaussian Blur,Balanced,25.000,true
buildings30,Gaussian Blur,Balanced,28.000,true
buildings31,Gaussian Blur,Balanced,33.000,true
buildings32,Gaussian Blur,Balanced,29.000,true
buildings33,Gaussian Blur,Balanced,32.000,true
buildings34,Gaussian Blur,Balanced,32.000,true
buildings35,Gaussian Blur,Balanced,26.000,true
buildings36,Gaussian Blur,Balanced,28.000,true
buildings37,Gaussian Blur,Balanced,25.000,true
buildings38,Gaussian Blur,Balanced,24.000,true
buildings39,Gaussian Blur,Balanced,23.000,true
buildings40,Gaussian Blur,Balanced,24.000,true
buildings41,Gaussian Blur,Balanced,21.000,true
buildings42,Gaussian Blur,Balanced,22.000,true
buildings43,Gaussian Blur,Balanced,25.000,true
buildings44,Gaussian Blur,Balanced,20.000,true
buildings45,Gaussian Blur,Balanced,20.000,true
buildings46,Gaussian Blur,Balanced,21.000,true
buildings47,Gaussian Blur,Balanced,22.000,true
buildings48,Gaussian Blur,Balanced,20.000,true
buildings49,Gaussian Blur,Balanced,21.000,true
buildings50,Gaussian Blur,Balanced,22.000,true
buildings51,Gaussian Blur,Balanced,25.000,true
buildings52,Gaussian Blur,Balanced,24.000,true
buildings53,Gaussian Blur,Balanced,28.000,true
buildings54,Gaussian Blur,Balanced,27.000,true
buildings55,Gaussian Blur,Balanced,34.000,true
buildings56,Gaussian Blur,Balanced,21.000,true
buildings57,Gaussian Blur,Balanced,27.000,true
buildings58,Gaussian Blur,Balanced,23.000,true
buildings59,Gaussian Blur,Balanced,31.000,true
buildings60,Gaussian Blur,Balanced,20.000,true
buildings61,Gaussian Blur,Balanced,24.000,true
buildings62,Gaussian Blur,Balanced,23.000,true
buildings63,Gaussian Blur,Balanced,22.000,true
buildings64,Gaussian Blur,Balanced,22.000,true
buildings65,Gaussian Blur,Balanced,23.000,true
buildings66,Gaussian Blur,Balanced,21.000,true
buildings67,Gaussian Blur,Balanced,20.000,true
buildings68,Gaussian Blur,Balanced,29.000,true
buildings69,Gaussian Blur,Balanced,28.000,true
buildings70,Gaussian Blur,Balanced,24.000,true
buildings71,Gaussian Blur,Balanced,22.000,true
buildings72,Gaussian Blur,Balanced,27.000,true
buildings73,Gaussian Blur,Balanced,18.000,true
buildings74,Gaussian Blur,Balanced,26.000,true
buildings75,Gaussian Blur,Balanced,26.000,true
buildings76,Gaussian Blur,Balanced,30.000,true
buildings77,Gaussian Blur,Balanced,22.000,true
buildings78,Gaussian Blur,Balanced,26.000,true
buildings79,Gaussian Blur,Balanced,26.000,true
buildings80,Gaussian Blur,Balanced,20.000,true
buildings81,Gaussian Blur,Balanced,19.000,true
buildings82,Gaussian Blur,Balanced,29.000,true
buildings83,Gaussian Blur,Balanced,20.000,true
buildings84,Gaussian Blur,Balanced,20.000,true
buildings85,Gaussian Blur,Balanced,21.000,true
buildings86,Gaussian Blur,Balanced,21.000,true
