UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
---------------------------------------------------------------------------
buildings00                   Gaussian Blur       24.00          OK        
buildings01                   Gaussian Blur       18.00          OK        
buildings02                   Gaussian Blur       18.00          OK        
buildings03                   Gaussian Blur       21.00          OK        
buildings04                   Gaussian Blur       28.00          OK        
buildings05                   Gaussian Blur       24.00          OK        
buildings06                   Gaussian Blur       21.00          OK        
buildings07                   Gaussian Blur       20.00          OK        
buildings08                   Gaussian Blur       21.00          OK        
buildings09                   Gaussian Blur       20.00          OK        
buildings10                   Gaussian Blur       20.00          OK        
buildings11                   Gaussian Blur       26.00          OK        
buildings12                   Gaussian Blur       26.00          OK        
buildings13                   Gaussian Blur       38.00          OK        
buildings14                   Gaussian Blur       35.00          OK        
buildings15                   Gaussian Blur       37.00          OK        
buildings16                   Gaussian Blur       18.00          OK        
buildings17                   Gaussian Blur       30.00          OK        
buildings18                   Gaussian Blur       19.00          OK        
buildings19                   Gaussian Blur       37.00          OK        
buildings20                   Gaussian Blur       20.00          OK        
buildings21                   Gaussian Blur       20.00          OK        
buildings22                   Gaussian Blur       19.00          OK        
buildings23                   Gaussian Blur       27.00          OK        
buildings24                   Gaussian Blur       24.00          OK        
buildings25                   Gaussian Blur       20.00          OK        
buildings26                   Gaussian Blur       20.00          OK        
buildings27                   Gaussian Blur       25.00          OK        
buildings28                   Gaussian Blur       22.00          OK        
buildings29                   Gaussian Blur       19.00          OK        
buildings30                   Gaussian Blur       18.00          OK        
buildings31                   Gaussian Blur       18.00          OK        
buildings32                   Gaussian Blur       20.00          OK        
buildings33                   Gaussian Blur       26.00          OK        
buildings34                   Gaussian Blur       54.00          OK        
buildings35                   Gaussian Blur       34.00          OK        
buildings36                   Gaussian Blur       18.00          OK        
buildings37                   Gaussian Blur       18.00          OK        
buildings38                   Gaussian Blur       18.00          OK        
buildings39                   Gaussian Blur       20.00          OK        
buildings40                   Gaussian Blur       20.00          OK        
buildings41                   Gaussian Blur       21.00          OK        
buildings42                   Gaussian Blur       20.00          OK        
buildings43                   Gaussian Blur       19.00          OK        
buildings44                   Gaussian Blur       23.00          OK        
buildings45                   Gaussian Blur       18.00          OK        
buildings46                   Gaussian Blur       20.00          OK        
buildings47                   Gaussian Blur       19.00          OK        
buildings48                   Gaussian Blur       23.00          OK        
buildings49                   Gaussian Blur       18.00          OK        
buildings50                   Gaussian Blur       21.00          OK        
buildings51                   Gaussian Blur       27.00          OK        
buildings52                   Gaussian Blur       20.00          OK        
buildings53                   Gaussian Blur       20.00          OK        
buildings54                   Gaussian Blur       22.00          OK        
buildings55                   Gaussian Blur       21.00          OK        
buildings56                   Gaussian Blur       21.00          OK        
buildings57                   Gaussian Blur       21.00          OK        
buildings58                   Gaussian Blur       29.00          OK        
buildings59                   Gaussian Blur       37.00          OK        
buildings60                   Gaussian Blur       21.00          OK        
buildings61                   Gaussian Blur       17.00          OK        
buildings62                   Gaussian Blur       20.00          OK        
buildings63                   Gaussian Blur       20.00          OK        
buildings64                   Gaussian Blur       21.00          OK        
buildings65                   Gaussian Blur       20.00          OK        
buildings66                   Gaussian Blur       20.00          OK        
buildings67                   Gaussian Blur       19.00          OK        
buildings68                   Gaussian Blur       18.00          OK        
buildings69                   Gaussian Blur       19.00          OK        
buildings70                   Gaussian Blur       18.00          OK        
buildings71                   Gaussian Blur       21.00          OK        
buildings72                   Gaussian Blur       20.00          OK        
buildings73                   Gaussian Blur       20.00          OK        
buildings74                   Gaussian Blur       18.00          OK        
buildings75                   Gaussian Blur       24.00          OK        
buildings76                   Gaussian Blur       21.00          OK        
buildings77                   Gaussian Blur       30.00          OK        
